USER,AGE,GENDER,COUNTRY,ENGLISH,EDUCATION,SIZE,TREL,TOPIC,DOC,urel,mental,physical,temp,perf,effort,frust,time,viewdoc,viewtopic
27,28,male,Yemeni,4,pg,sml,0,372,XIE19970518.0125,0,5,5,5,100,5,5,48532,1,0
27,28,male,Yemeni,4,pg,sml,1,648,XIE19980128.0152,1,10,10,5,85,20,10,187504,2,1
27,28,male,Yemeni,4,pg,lrg,1,314,NYT19991116.0398,1,10,5,5,85,5,5,159812,1,0
27,28,male,Yemeni,4,pg,med,1,651,APW20000830.0145,2,5,5,5,100,5,5,49358,1,0
27,28,male,Yemeni,4,pg,med,2,336,APW19990809.0282,1,5,5,5,95,5,5,98141,1,0
27,28,male,Yemeni,4,pg,med,0,325,NYT19991101.0176,1,5,5,5,80,5,5,164012,1,0
27,28,male,Yemeni,4,pg,sml,2,307,XIE20000409.0027,2,5,5,5,100,5,5,67006,1,0
28,19,female,British,5,ug,med,2,367,XIE20000202.0190,1,65,30,70,80,70,15,36006,1,0
28,19,female,British,5,ug,med,0,401,APW19981126.1161,0,90,65,70,50,80,30,60876,1,0
28,19,female,British,5,ug,med,1,344,APW19990528.0213,0,70,50,45,100,60,5,86528,1,0
28,19,female,British,5,ug,lrg,0,341,NYT19980609.0322,0,65,80,90,90,70,40,100841,1,0
28,19,female,British,5,ug,sml,0,325,XIE19970518.0125,0,35,20,5,100,15,5,35134,1,0
28,19,female,British,5,ug,sml,1,389,APW20000424.0148,2,65,20,55,80,50,5,67008,1,0
28,19,female,British,5,ug,sml,2,347,XIE19970128.0178,2,25,20,20,100,35,5,28161,1,0
28,19,female,British,5,ug,lrg,2,426,NYT19991025.0423,1,65,80,65,85,60,25,96648,1,0
28,19,female,British,5,ug,lrg,1,362,NYT19990828.0145,1,80,80,85,70,80,30,103765,1,0
