USER,AGE,GENDER,COUNTRY,ENGLISH,EDUCATION,SIZE,TREL,TOPIC,DOC,urel,time,viewdoc,viewtopic,mental,physical,temp,perf,effort,frust
54f076a9e4775,32,male,Macedonian,4,pg,med,0,650,APW20000320.0064,2,108452,2,1,95,10,30,100,100,40
54f076a9e4775,32,male,Macedonian,4,pg,sml,2,310,XIE20000513.0210,2,47656,1,0,60,5,25,100,90,15
54f076a9e4775,32,male,Macedonian,4,pg,med,1,325,APW20000321.0186,0,121218,2,1,100,10,70,90,100,50
54f076a9e4775,32,male,Macedonian,4,pg,med,2,427,APW19980929.0096,0,101061,2,1,85,10,60,100,75,30
54f076a9e4775,32,male,Macedonian,4,pg,lrg,1,427,NYT19980713.0208,0,113708,4,3,80,10,70,100,70,40
54f076a9e4775,32,male,Macedonian,4,pg,lrg,2,639,NYT19990908.0220,2,51705,2,1,95,10,65,100,40,80
54f076a9e4775,32,male,Macedonian,4,pg,lrg,0,651,NYT19990810.0097,2,112333,2,1,95,10,45,100,90,30
54f076a9e4775,32,male,Macedonian,4,pg,sml,0,314,XIE19981123.0259,1,65022,2,1,65,10,40,100,30,40
54f076ad33482,27,male,Bosnian,4,pg,lrg,0,374,NYT19990111.0369,1,50674,2,1,15,10,10,75,35,35
54f076ad33482,27,male,Bosnian,4,pg,med,0,625,NYT19990622.0467,0,57714,4,3,10,10,25,10,10,50
54f076ad33482,27,male,Bosnian,4,pg,med,1,347,XIE19961128.0008,2,32210,1,0,35,10,30,75,65,25
54f076ad33482,27,male,Bosnian,4,pg,sml,1,362,APW19981027.1018,2,21081,1,0,40,15,35,80,55,20
54f076ad33482,27,male,Bosnian,4,pg,sml,2,409,APW19981221.0785,1,39945,2,1,30,20,25,80,40,15
54f076ad33482,27,male,Bosnian,4,pg,sml,2,374,APW19981008.0633,2,21093,1,0,35,35,35,65,45,20
54f076ad33482,27,male,Bosnian,4,pg,lrg,0,362,NYT19991105.0330,0,32892,1,0,40,15,30,80,35,15
54f076ad33482,27,male,Bosnian,4,pg,med,2,372,APW19990617.0021,2,18474,1,0,40,40,25,60,35,25
54f076ad33482,27,male,Bosnian,4,pg,lrg,1,393,NYT19981001.0477,2,29719,1,0,70,25,45,75,65,15
54f076b321011,22,female,Romanian,3,ug,med,2,448,XIE20000701.0171,2,48136,1,0,80,15,40,85,65,5
54f076b321011,22,female,Romanian,3,ug,sml,0,372,XIE19960319.0230,0,50182,1,0,65,15,25,95,55,5
54f076b321011,22,female,Romanian,3,ug,lrg,2,689,APW20000713.0057,0,61629,1,0,65,15,55,85,40,5
54f076b321011,22,female,Romanian,3,ug,med,1,408,XIE19981106.0380,2,56351,1,0,65,15,50,75,40,5
54f076b321011,22,female,Romanian,3,ug,lrg,1,401,APW19980923.1346,1,66383,1,0,70,15,45,75,45,5
54f076b321011,22,female,Romanian,3,ug,sml,0,419,XIE19960729.0007,0,56958,1,0,65,10,60,80,50,5
54f076b321011,22,female,Romanian,3,ug,lrg,2,638,NYT19980621.0043,2,63062,1,0,65,10,50,85,30,5
54f076b321011,22,female,Romanian,3,ug,med,1,436,XIE19990403.0117,0,104401,1,0,60,25,45,95,55,10
54f076b321011,22,female,Romanian,3,ug,sml,0,383,XIE19990803.0022,1,37017,1,0,65,30,55,75,50,10
54f076b34ba2d,38,male,Greek,4,pg,sml,2,401,APW19980915.0537,2,232374,1,0,35,35,25,55,30,50
54f076b34ba2d,38,male,Greek,4,pg,sml,0,303,XIE19990609.0034,0,121843,1,0,30,30,30,65,30,10
54f076b34ba2d,38,male,Greek,4,pg,med,0,372,APW20000422.0067,1,153379,1,0,30,30,30,30,30,10
54f076b34ba2d,38,male,Greek,4,pg,sml,1,347,XIE19980115.0226,2,218007,1,0,30,35,30,30,40,55
54f076b34ba2d,38,male,Greek,4,pg,lrg,1,367,APW20000425.0096,2,76980,1,0,35,35,30,30,30,20
54f076b34ba2d,38,male,Greek,4,pg,med,2,389,XIE19960117.0301,0,104769,1,0,30,30,15,15,15,15
54f076b34ba2d,38,male,Greek,4,pg,lrg,2,372,APW20000318.0028,2,25451,1,0,20,20,20,20,20,15
54f076b34ba2d,38,male,Greek,4,pg,lrg,1,372,NYT19981009.0152,2,42907,1,0,15,15,15,15,20,15
54f076b34ba2d,38,male,Greek,4,pg,med,0,375,APW20000414.0181,0,57383,1,0,20,20,20,20,20,20
54f076b5dc149,38,male,India,4,staff,med,0,347,APW20000716.0047,0,62354,1,0,65,15,45,80,65,60
54f076b5dc149,38,male,India,4,staff,sml,1,658,XIE19970412.0147,0,27507,1,0,40,15,30,80,40,30
54f076b5dc149,38,male,India,4,staff,sml,0,416,XIE20000621.0247,1,26038,1,0,45,10,30,80,40,15
54f076b5dc149,38,male,India,4,staff,lrg,0,347,NYT19980604.0306,0,38556,1,0,55,15,30,85,30,10
54f076b5dc149,38,male,India,4,staff,lrg,2,383,NYT20000508.0216,2,43603,1,0,70,20,60,65,60,25
54f076b5dc149,38,male,India,4,staff,med,1,393,APW19980727.0330,1,36885,1,0,75,30,65,60,45,35
54f076b5dc149,38,male,India,4,staff,med,2,399,XIE19990708.0238,2,42086,1,0,70,20,60,60,45,35
54f076b5dc149,38,male,India,4,staff,sml,2,426,XIE19960107.0220,2,34285,1,0,65,20,55,55,45,25
54f076b5dc149,38,male,India,4,staff,lrg,1,378,APW19981231.0617,1,33243,1,0,65,30,50,60,45,20
54f076b6a6df7,34,male,Brasil,4,ug,med,1,639,APW19991026.0235,2,34514,1,0,90,70,90,80,85,15
54f076b6a6df7,34,male,Brasil,4,ug,sml,0,374,APW20000813.0048,2,12774,1,0,90,90,80,85,65,15
54f076b6a6df7,34,male,Brasil,4,ug,sml,1,433,XIE19970418.0030,2,15316,1,0,85,75,90,80,85,10
54f076b6a6df7,34,male,Brasil,4,ug,lrg,0,416,NYT19981220.0131,2,18126,1,0,95,85,90,90,85,5
54f076b6a6df7,34,male,Brasil,4,ug,lrg,2,648,NYT19991207.0373,2,12289,1,0,95,85,90,90,85,10
54f076b6a6df7,34,male,Brasil,4,ug,sml,0,399,XIE19981015.0267,2,19829,1,0,75,80,85,90,85,55
54f076b6a6df7,34,male,Brasil,4,ug,lrg,2,443,XIE19990518.0059,2,17049,1,0,90,80,85,95,85,20
54f076b6a6df7,34,male,Brasil,4,ug,med,1,404,XIE19970721.0093,2,17064,1,0,90,80,80,90,75,20
54f076b6a6df7,34,male,Brasil,4,ug,med,2,399,APW19981209.1692,2,9947,1,0,95,90,85,90,90,10
54f076c010c06,28,male,Indonesia,4,ug,med,1,443,XIE19990427.0006,2,90883,3,2,100,10,100,55,100,10
54f076c010c06,28,male,Indonesia,4,ug,lrg,1,427,APW19990513.0294,2,66530,1,0,100,10,10,100,100,5
54f076c010c06,28,male,Indonesia,4,ug,med,0,436,XIE19990803.0189,0,27247,1,0,5,5,5,100,100,5
54f076c010c06,28,male,Indonesia,4,ug,sml,1,394,XIE19990922.0174,0,52943,1,0,5,5,5,100,100,5
54f076c010c06,28,male,Indonesia,4,ug,sml,2,443,XIE20000114.0128,2,39420,2,1,5,5,5,100,100,5
54f076c010c06,28,male,Indonesia,4,ug,lrg,2,389,NYT19981208.0427,2,63539,1,0,100,10,5,80,100,20
54f076c010c06,28,male,Indonesia,4,ug,lrg,0,389,NYT20000216.0487,0,80236,2,1,100,10,5,90,100,20
54f076c010c06,28,male,Indonesia,4,ug,med,2,416,XIE19960623.0121,0,97546,3,2,100,30,5,90,100,20
54f076c010c06,28,male,Indonesia,4,ug,sml,0,408,APW20000912.0028,0,33830,1,0,50,5,5,100,100,5
54f076c2c6b79,40,male,Spain,4,ug,med,0,314,XIE19970624.0203,0,52370,1,0,50,20,50,85,55,5
54f076c2c6b79,40,male,Spain,4,ug,lrg,1,310,NYT19991025.0233,0,43195,1,0,55,30,50,55,50,5
54f076c2c6b79,40,male,Spain,4,ug,lrg,2,404,APW20000206.0115,2,15356,1,0,50,30,50,85,50,5
54f076c2c6b79,40,male,Spain,4,ug,med,2,439,APW19990422.0246,2,14312,1,0,50,25,60,80,65,10
54f076c2c6b79,40,male,Spain,4,ug,sml,0,409,XIE19960711.0249,0,17819,1,0,50,25,30,85,40,5
54f076c2c6b79,40,male,Spain,4,ug,med,2,303,APW19990108.0103,2,16177,1,0,50,30,65,85,65,10
54f076c2c6b79,40,male,Spain,4,ug,sml,0,448,XIE19990628.0135,0,17871,1,0,50,25,35,85,40,5
54f076c2c6b79,40,male,Spain,4,ug,sml,1,347,XIE19960427.0206,1,18600,1,0,45,20,45,80,45,5
54f076c2c6b79,40,male,Spain,4,ug,lrg,1,344,NYT19990525.0425,0,66364,1,0,55,40,55,85,70,15
54f076c2e2d1e,28,male,usa,3,ug,med,2,344,NYT20000221.0264,1,40249,1,0,65,55,45,80,75,45
54f076c2e2d1e,28,male,usa,3,ug,sml,1,436,APW19981111.1260,1,27425,1,0,65,55,40,80,75,65
54f076c2e2d1e,28,male,usa,3,ug,sml,0,409,XIE19971029.0106,0,22775,1,0,30,40,35,70,45,60
54f076c2e2d1e,28,male,usa,3,ug,med,0,322,NYT19990726.0002,2,75395,1,0,75,70,85,80,90,80
54f076c2e2d1e,28,male,usa,3,ug,sml,2,443,XIE19980609.0361,2,30768,1,0,75,70,80,90,80,85
54f076c2e2d1e,28,male,usa,3,ug,med,0,436,XIE19970703.0253,1,19671,1,0,50,40,50,35,65,80
54f076c2e2d1e,28,male,usa,3,ug,lrg,2,638,NYT19981127.0013,1,31689,1,0,80,60,70,65,90,80
54f076c2e2d1e,28,male,usa,3,ug,lrg,1,310,NYT19991003.0452,2,12328,1,0,35,60,50,80,75,90
54f076c2e2d1e,28,male,usa,3,ug,lrg,1,330,APW19980815.0148,1,11378,1,0,45,50,90,70,95,75
